groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
ATF6,6,0,0,1,NA,NA,NA,1
ATF7IP,4,0,0,1,NA,NA,NA,1
ATG10,3,0,0,1,NA,NA,NA,1
ATG12,11,0,0,1,NA,NA,NA,1
ATG13,2,0,0,1,NA,NA,NA,1
ATG2B,3,0,0,1,NA,NA,NA,1
ATG4A,3,0,0,1,NA,NA,NA,1
ATG4B,2,0,0,1,NA,NA,NA,1
ATG4C,3,0,0,1,NA,NA,NA,1
ATG5,4,0,0,1,NA,NA,NA,1
ATL2,3,0,0,1,NA,NA,NA,1
ATL3,6,0,0,1,NA,NA,NA,1
ATM,4,0,0,1,NA,NA,NA,1
ATOH8,2,0,0,1,NA,NA,NA,1
ATOSA,2,0,0,1,NA,NA,NA,1
ATOSB,3,0,0,1,NA,NA,NA,1
ATP10D,2,0,0,1,NA,NA,NA,1
ATP11A,4,0,0,1,NA,NA,NA,1
ATP11B,3,0,0,1,NA,NA,NA,1
ATP11C,3,0,0,1,NA,NA,NA,1
ATP13A3,6,0,0,1,NA,NA,NA,1
ATP1B1,4,0,0,1,NA,NA,NA,1
ATP1B3,2,0,0,1,NA,NA,NA,1
ATP2A2,3,0,0,1,NA,NA,NA,1
ATP2B1,4,0,0,1,NA,NA,NA,1
ATP2B4,3,0,0,1,NA,NA,NA,1
ATP2C1,8,0,0,1,NA,NA,NA,1
ATP5F1A,3,0,0,1,NA,NA,NA,1
ATP5F1E,2,0,0,1,NA,NA,NA,1
ATP5MC3,3,0,0,1,NA,NA,NA,1
ATP5MG,2,0,0,1,NA,NA,NA,1
ATP5MJ,2,0,0,1,NA,NA,NA,1
ATP5PB,2,0,0,1,NA,NA,NA,1
ATP5PF,2,0,0,1,NA,NA,NA,1
ATP6AP2,3,0,0,1,NA,NA,NA,1
ATP6V0A2,5,0,0,1,NA,NA,NA,1
ATP6V0E1,2,0,0,1,NA,NA,NA,1
ATP6V1A,5,0,0,1,NA,NA,NA,1
ATP6V1B2,2,0,0,1,NA,NA,NA,1
ATP6V1C1,5,0,0,1,NA,NA,NA,1
ATP6V1D,5,0,0,1,NA,NA,NA,1
ATP6V1E1,4,0,0,1,NA,NA,NA,1
ATP6V1G1,5,0,0,1,NA,NA,NA,1
ATP6V1H,2,0,0,1,NA,NA,NA,1
ATP7A,2,0,0,1,NA,NA,NA,1
ATP8B2,3,0,0,1,NA,NA,NA,1
ATP9A,4,0,0,1,NA,NA,NA,1
ATP9B,3,0,0,1,NA,NA,NA,1
ATPAF1,2,0,0,1,NA,NA,NA,1
ATPAF2,2,0,0,1,NA,NA,NA,1
ATPSCKMT,4,0,0,1,NA,NA,NA,1
ATR,2,0,0,1,NA,NA,NA,1
ATRX,2,0,0,1,NA,NA,NA,1
ATXN1,6,0,0,1,NA,NA,NA,1
ATXN10,5,0,0,1,NA,NA,NA,1
ATXN1L,2,0,0,1,NA,NA,NA,1
ATXN2,2,0,0,1,NA,NA,NA,1
ATXN3,6,0,0,1,NA,NA,NA,1
ATXN7,3,0,0,1,NA,NA,NA,1
AUH,2,0,0,1,NA,NA,NA,1
AURKA,2,0,0,1,NA,NA,NA,1
AVEN,2,0,0,1,NA,NA,NA,1
AVL9,4,0,0,1,NA,NA,NA,1
AXL,3,0,0,1,NA,NA,NA,1
AZI2,5,0,0,1,NA,NA,NA,1
AZIN1,8,0,0,1,NA,NA,NA,1
B2M,2,0,0,1,NA,NA,NA,1
B3GALNT1,3,0,0,1,NA,NA,NA,1
B3GALT6,5,0,0,1,NA,NA,NA,1
B3GLCT,3,0,0,1,NA,NA,NA,1
